Model,Test Accuracy,CV Mean Accuracy,CV Std Dev
Random Forest,0.7733386514214806,0.78,0.039999999999999994
AdaBoost,0.7626359990250172,0.7799999999999999,0.024494897427831806
Decision Tree,0.7653615192005141,0.77,0.09797958971132714
kNN,0.7722528750914046,0.8299999999999998,0.024494897427831747
Logistic Regression,0.7930377362671452,0.7699999999999999,0.040000000000000036
LDA,0.7754437279797912,0.8099999999999999,0.05830951894845301
Naive Bayes,0.7842407321234682,0.7699999999999999,0.08124038404635961
